frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
9.0,1,"[['parent', [170.17048784685144, 60.30931115916755, 882.3]]]","[['parent', [217.37408845455795, 57.77247529147153, 882.3]]]","[['parent', [192.7217668691205, 58.32069572705207, 882.3]]]"
10.0,1,"[['parent', [178.776085228002, 65.60856078226365, 909.1]]]","[['parent', [229.3047109191789, 56.92407863321214, 909.1]]]","[['parent', [204.52828324165228, 60.48455797892116, 909.1]]]"
11.0,1,"[['parent', [180.96281504053343, 65.8867235365952, 892.9]]]","[['parent', [235.14197767306428, 50.839388806192595, 892.9]]]","[['parent', [210.19253945638795, 57.46501698087589, 892.9]]]"
12.0,1,"[['parent', [168.86841157920225, 160.7, 1139.7753847141228]]]","[['parent', [241.94814236982094, 42.167876829042655, 880.1]]]","[['parent', [229.61046316589884, 160.7, 1180.786078260351]]]"
13.0,1,"[['parent', [170.50480714663917, 160.7, 1110.577032732802]]]","[['parent', [246.50421870852028, 37.33880298880495, 871.2]]]","[['parent', [231.22534731761374, 160.7, 1154.685226594738]]]"
14.0,1,"[['parent', [172.46608710181025, 159.6, 1097.0872209865133]]]","[['parent', [251.8847835670626, 34.197230397121395, 870.7]]]","[['parent', [232.9812789394813, 159.6, 1144.159944815182]]]"
15.0,1,"[['parent', [177.286845176896, 159.0, 1095.9301622188116]]]","[['parent', [262.2375700620507, 28.712996817270728, 885.0]]]","[['parent', [238.4289638767654, 159.0, 1147.1571715519153]]]"
16.0,1,"[['parent', [184.57589836834296, 158.4, 1091.5557466864443]]]","[['parent', [301.63144362372645, 158.4, 1187.3663715609855]]]","[['parent', [243.10189237596245, 158.4, 1140.8808717902143]]]"
17.0,1,"[['parent', [191.2788828140287, 156.7, 1089.794083495436]]]","[['parent', [304.73453885650406, 156.7, 1188.1963247219294]]]","[['parent', [247.9523260562417, 156.7, 1140.3671890256967]]]"
18.0,1,"[['parent', [189.42363626614693, 155.3, 1079.1355669994941]]]","[['parent', [298.96606908210515, 155.3, 1168.1613500756746]]]","[['parent', [244.04639108765755, 155.3, 1125.0513866901204]]]"
19.0,1,"[['parent', [201.4844475472152, 153.0, 1087.9668692003982]]]","[['parent', [304.17551835892016, 153.0, 1163.8455801754872]]]","[['parent', [252.54378051776615, 153.0, 1127.397950342107]]]"
20.0,1,"[['parent', [203.97649677095103, 154.1, 1089.8910388330946]]]","[['parent', [305.90879995567707, 154.1, 1163.6769217699639]]]","[['parent', [254.29772043684227, 154.1, 1127.9918802150403]]]"
