eps_value,child_mean_noise,child_std_noise,child_mean_std,parent_mean_noise,parent_std_noise,parent_mean_std
0.95,184.2083333,106.5331054,290.7414387,179.7916667,129.9096606,309.7013273
0.9,212.0416667,125.8157656,337.8574323,204.7083333,142.2803354,346.9886687
0.85,241.2083333,135.3240809,376.5324143,236.25,158.1068021,394.3568021
0.8,280.125,151.0350701,431.1600701,289.375,220.3050874,509.6800874
0.75,331.6666667,174.8720443,506.538711,351.3333333,259.9084566,611.2417899
0.7,405.2083333,244.9276697,650.1360031,395.2916667,277.3853824,672.6770491
0.65,481.5416667,277.2114213,758.753088,454.625,295.8772972,750.5022972
0.6,576.8333333,325.0850948,901.9184281,525.2083333,326.224913,851.4332463
0.55,723.4583333,403.3483745,1126.806708,622.7916667,369.0966622,991.8883288
0.5,918.6666667,507.4729949,1426.139662,747.9166667,425.3662275,1173.282894
0.45,1189.833333,632.5588247,1822.392158,917.7083333,519.8896605,1437.597994
0.4,1588.125,805.1708062,2393.295806,1154.041667,678.2629655,1832.304632
0.35,2276.916667,1236.490437,3513.407104,1491.5,937.7616273,2429.261627
0.3,3122.083333,1635.600512,4757.683846,1901.25,1190.656898,3091.906898
0.25,4231.5,2239.885323,6471.385323,2499.083333,1518.899685,4017.983019
0.2,5071.291667,2417.663811,7488.955478,3331.916667,1930.86975,5262.786417
0.15,5440.75,2544.491446,7985.241446,4131,2473.884782,6604.884782,
0.1,5641.166667,2650.585147,8291.751814,4519.958333,2861.49849,7381.456823
0.05,5685.125,2699.442911,8384.567911,4616.708333,2911.494036,7528.202369
