session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,2,"[{'cluster': 0, 'x_mean': -0.16677960408745238, 'x_std': 0.2481137844669223, 'y_mean': 0.405079204847909, 'y_std': 0.12120613969169622, 'z_mean': -0.8463537661596958, 'z_std': 0.09447312958273385}, {'cluster': -1, 'x_mean': -0.47780475, 'x_std': 0.010127536873544339, 'y_mean': -0.039078, 'y_std': 0.007980407132471373, 'z_mean': -0.8747097500000001, 'z_std': 0.005874996691488467}]",1,0.95,47,"[{'cluster': 0, 'x_mean': 0.4904826289947711, 'x_std': 0.17737563941839316, 'y_mean': 0.3587028628704235, 'y_std': 0.06765950440017365, 'z_mean': -0.7594863358512497, 'z_std': 0.11132429241203393}, {'cluster': -1, 'x_mean': 0.5746894361702127, 'x_std': 0.35162900721373286, 'y_mean': 0.05310497872340428, 'y_std': 0.1931874025541216, 'z_mean': -0.6722298191489362, 'z_std': 0.23132957802139995}]",training_session_0
,1,0.95,30,"[{'cluster': 0, 'x_mean': -0.056328651962946646, 'x_std': 0.2051983037582087, 'y_mean': 0.3439025251433613, 'y_std': 0.14506490465610367, 'z_mean': -0.8967198116453442, 'z_std': 0.06692152958934272}, {'cluster': -1, 'x_mean': -0.26031618333333334, 'x_std': 0.4647917364630299, 'y_mean': 0.10860551666666667, 'y_std': 0.3080557032698985, 'z_mean': -0.7748130333333335, 'z_std': 0.1261596797314702}]",1,0.95,198,"[{'cluster': 0, 'x_mean': 0.39656427238525244, 'x_std': 0.1531623686364252, 'y_mean': 0.4369535917983446, 'y_std': 0.11315854033869376, 'z_mean': -0.7756761851015826, 'z_std': 0.06845138843553954}, {'cluster': -1, 'x_mean': 0.4840093055555557, 'x_std': 0.4122704606683448, 'y_mean': 0.20175685858585854, 'y_std': 0.19701016303026955, 'z_mean': -0.6584055934343436, 'z_std': 0.27424744478165913}]",training_session_1
,1,0.95,90,"[{'cluster': 0, 'x_mean': 0.05062764180645165, 'x_std': 0.19156810589810475, 'y_mean': 0.4061160134193547, 'y_std': 0.08022445944676818, 'z_mean': -0.8808278701935478, 'z_std': 0.04757304730011798}, {'cluster': -1, 'x_mean': -0.23722680555555561, 'x_std': 0.21114977065540408, 'y_mean': 0.2142942722222223, 'y_std': 0.19753628317655667, 'z_mean': -0.8943389833333334, 'z_std': 0.1003249930443878}]",1,0.95,221,"[{'cluster': 0, 'x_mean': 0.6075358443277801, 'x_std': 0.13375390823235994, 'y_mean': 0.28497887000684696, 'y_std': 0.12067290473795136, 'z_mean': -0.7083488359963482, 'z_std': 0.08684303847818094}, {'cluster': -1, 'x_mean': -0.10014498190045244, 'x_std': 0.17893206312772764, 'y_mean': 0.3918813167420814, 'y_std': 0.1591597260994628, 'z_mean': -0.8735816063348418, 'z_std': 0.09584993103283318}]",training_session_2
,1,0.95,55,"[{'cluster': 0, 'x_mean': -0.25189939215990104, 'x_std': 0.3325039777165926, 'y_mean': 0.3905644778431986, 'y_std': 0.1148919142617303, 'z_mean': -0.7979748005887831, 'z_std': 0.1283638860376903}, {'cluster': -1, 'x_mean': -0.7633939090909089, 'x_std': 0.2245244461599377, 'y_mean': -0.03752245454545456, 'y_std': 0.15485679843772487, 'z_mean': -0.5479815909090908, 'z_std': 0.18739891450439827}]",1,0.95,41,"[{'cluster': 0, 'x_mean': 0.5051386069128379, 'x_std': 0.13034716999223533, 'y_mean': 0.3510394171318159, 'y_std': 0.12093017321743754, 'z_mean': -0.7610736075568916, 'z_std': 0.07176340536782529}, {'cluster': -1, 'x_mean': -0.0089404756097561, 'x_std': 0.2067113254559045, 'y_mean': 0.49160623170731704, 'y_std': 0.12208450428678988, 'z_mean': -0.8276417804878048, 'z_std': 0.09357022687011936}]",training_session_3
,1,0.95,68,"[{'cluster': 0, 'x_mean': -0.22139104099821674, 'x_std': 0.2620127159847337, 'y_mean': 0.4063980209042291, 'y_std': 0.1357932906083212, 'z_mean': -0.8229941362826128, 'z_std': 0.11499223520204024}, {'cluster': -1, 'x_mean': -0.0734932794117648, 'x_std': 0.5568586088803643, 'y_mean': 0.05555513235294116, 'y_std': 0.2530735329724275, 'z_mean': -0.7692713529411764, 'z_std': 0.148261201810618}]",1,0.95,0,"[{'cluster': 0, 'x_mean': 0.4296844218750002, 'x_std': 0.3536523129283273, 'y_mean': 0.35125250111607115, 'y_std': 0.14238626925915976, 'z_mean': -0.7023898895089286, 'z_std': 0.21825858738957457}]",training_session_4
,1,0.95,309,"[{'cluster': 0, 'x_mean': -0.04563131336375478, 'x_std': 0.17834666925462225, 'y_mean': 0.3482976363754891, 'y_std': 0.10778880835342529, 'z_mean': -0.9080078919165567, 'z_std': 0.04438692388113339}, {'cluster': -1, 'x_mean': -0.09666009385113272, 'x_std': 0.4908474490392031, 'y_mean': 0.17321752912621344, 'y_std': 0.27036008537452105, 'z_mean': -0.7879455145631071, 'z_std': 0.14161601266228993}]",2,0.95,59,"[{'cluster': 0, 'x_mean': 0.4944134229818785, 'x_std': 0.09930430660468959, 'y_mean': 0.27878226544481005, 'y_std': 0.08945278482394055, 'z_mean': -0.8065052559719926, 'z_std': 0.0573054306475965}, {'cluster': 1, 'x_mean': -0.046765249999999994, 'x_std': 0.08109151593819997, 'y_mean': 0.3844716971153845, 'y_std': 0.03448402504061889, 'z_mean': -0.9147765096153846, 'z_std': 0.014299508195423173}, {'cluster': -1, 'x_mean': 0.2649120677966102, 'x_std': 0.33820759595255095, 'y_mean': 0.23895471186440673, 'y_std': 0.2124375966926199, 'z_mean': -0.8261294152542371, 'z_std': 0.15173163807699164}]",training_session_5
,1,0.95,189,"[{'cluster': 0, 'x_mean': -0.012346665532879804, 'x_std': 0.1654370284167886, 'y_mean': 0.4055723231292514, 'y_std': 0.08022331408324192, 'z_mean': -0.8907014776077125, 'z_std': 0.04118152942170086}, {'cluster': -1, 'x_mean': -0.2818910873015874, 'x_std': 0.3553443922096525, 'y_mean': 0.5063275925925926, 'y_std': 0.156829190662219, 'z_mean': -0.7048104735449736, 'z_std': 0.09018473664511804}]",1,0.95,44,"[{'cluster': 0, 'x_mean': 0.4500441857079838, 'x_std': 0.09863108341313057, 'y_mean': 0.39082450595500656, 'y_std': 0.15770300462887213, 'z_mean': -0.7716384883105425, 'z_std': 0.07760452770329863}, {'cluster': -1, 'x_mean': 0.14555089772727273, 'x_std': 0.28918942293766275, 'y_mean': 0.15808487499999999, 'y_std': 0.2894366717305847, 'z_mean': -0.8690938977272726, 'z_std': 0.1656000455358387}]",training_session_6
,1,0.95,78,"[{'cluster': 0, 'x_mean': -0.03324322407986534, 'x_std': 0.2939653154475246, 'y_mean': 0.317236510584557, 'y_std': 0.17906535782034652, 'z_mean': -0.8733135882848204, 'z_std': 0.09686895230622622}, {'cluster': -1, 'x_mean': -0.6569061666666663, 'x_std': 0.1447583229812883, 'y_mean': -0.11354734615384615, 'y_std': 0.26927967639950134, 'z_mean': -0.6633073461538459, 'z_std': 0.1302900776111676}]",1,0.95,266,"[{'cluster': 0, 'x_mean': 0.49172303564838127, 'x_std': 0.13608903098448583, 'y_mean': 0.38331267262204477, 'y_std': 0.16806185909429808, 'z_mean': -0.740892569535311, 'z_std': 0.08073976977840198}, {'cluster': -1, 'x_mean': 0.18257739285714294, 'x_std': 0.3730235203029715, 'y_mean': 0.1687237612781956, 'y_std': 0.2897228802631049, 'z_mean': -0.813272917293233, 'z_std': 0.21770294609740437}]",training_session_7
,1,0.95,80,"[{'cluster': 0, 'x_mean': 0.020038377695800278, 'x_std': 0.1351966107787998, 'y_mean': 0.35450901220204356, 'y_std': 0.09776161924288546, 'z_mean': -0.9155728776957998, 'z_std': 0.034544631446310675}, {'cluster': -1, 'x_mean': 0.026096049999999992, 'x_std': 0.3628951942350957, 'y_mean': 0.10607015624999998, 'y_std': 0.18896138114568484, 'z_mean': -0.9023460312499999, 'z_std': 0.0634864702316711}]",1,0.95,6,"[{'cluster': 0, 'x_mean': 0.337690206642066, 'x_std': 0.18438506339358007, 'y_mean': 0.41282932595325994, 'y_std': 0.13696743982148965, 'z_mean': -0.8067856153136531, 'z_std': 0.062400410685638806}, {'cluster': -1, 'x_mean': 0.4818691666666666, 'x_std': 0.265960639271804, 'y_mean': 0.06292316666666666, 'y_std': 0.16273617038712282, 'z_mean': -0.8006051666666667, 'z_std': 0.20788689999460444}]",training_session_8
,2,0.95,83,"[{'cluster': 0, 'x_mean': -0.18551711984948274, 'x_std': 0.19756512704059045, 'y_mean': 0.36386110122295406, 'y_std': 0.13094971520091472, 'z_mean': -0.8753793827845724, 'z_std': 0.0668430748682276}, {'cluster': 1, 'x_mean': -0.20114167763157897, 'x_std': 0.015518518969043195, 'y_mean': -0.3286589572368423, 'y_std': 0.015106825198857188, 'z_mean': -0.917793708333333, 'z_std': 0.009600907358471513}, {'cluster': -1, 'x_mean': 0.024585096385542203, 'x_std': 0.3787175058918157, 'y_mean': 0.5159620421686745, 'y_std': 0.30283027143212365, 'z_mean': -0.6923049578313254, 'z_std': 0.0893750202493992}]",1,0.95,253,"[{'cluster': 0, 'x_mean': 0.50314923369501, 'x_std': 0.12557523682385124, 'y_mean': 0.358454186696542, 'y_std': 0.1212690385592369, 'z_mean': -0.758466564040569, 'z_std': 0.0769772807959626}, {'cluster': -1, 'x_mean': 0.13459021739130433, 'x_std': 0.3808241082248343, 'y_mean': 0.37820248023715436, 'y_std': 0.1847544704370205, 'z_mean': -0.7913452252964427, 'z_std': 0.1628508392523388}]",training_session_9
