frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
9.0,0,[],[],[]
10.0,0,[],[],[]
11.0,0,[],[],[]
12.0,0,[],[],[]
13.0,0,[],[],[]
14.0,0,[],[],[]
33.0,0,[],[],[]
34.0,0,[],[],[]
35.0,0,[],[],[]
36.0,0,[],[],[]
37.0,0,[],[],[]
38.0,0,[],[],[]
41.0,0,[],[],[]
42.0,0,[],[],[]
43.0,0,[],[],[]
44.0,0,[],[],[]
45.0,0,[],[],[]
46.0,0,[],[],[]
49.0,0,[],[],[]
50.0,0,[],[],[]
51.0,0,[],[],[]
52.0,0,[],[],[]
53.0,0,[],[],[]
54.0,0,[],[],[]
57.0,0,[],[],[]
58.0,0,[],[],[]
59.0,0,[],[],[]
60.0,0,[],[],[]
61.0,0,[],[],[]
62.0,0,[],[],[]
73.0,0,[],[],[]
74.0,0,[],[],[]
75.0,1,[],[],[]
76.0,1,[],[],[]
77.0,0,[],[],[]
78.0,1,[],[],[]
79.0,0,[],[],[]
80.0,1,[],[],[]
81.0,0,[],[],[]
82.0,1,[],[],[]
83.0,1,[],[],[]
84.0,1,[],[],[]
85.0,0,[],[],[]
86.0,0,[],[],[]
87.0,0,[],[],[]
88.0,0,[],[],[]
89.0,0,[],[],[]
90.0,0,[],[],[]
97.0,0,[],[],[]
98.0,0,[],[],[]
99.0,0,[],[],[]
100.0,0,[],[],[]
101.0,0,[],[],[]
102.0,0,[],[],[]
105.0,1,[],[],[]
106.0,1,[],[],[]
107.0,1,[],[],[]
108.0,1,[],[],[]
109.0,1,[],[],[]
110.0,1,[],[],[]
111.0,1,[],[],[]
112.0,1,[],[],[]
113.0,1,[],[],[]
114.0,1,[],[],[]
115.0,1,[],[],[]
116.0,1,[],[],[]
117.0,1,[],[],[]
118.0,1,[],[],[]
119.0,1,[],[],[]
120.0,0,[],[],[]
121.0,1,[],[],[]
122.0,1,[],[],[]
123.0,0,[],[],[]
124.0,1,[],[],[]
125.0,1,[],[],[]
126.0,1,[],[],[]
127.0,1,[],[],[]
128.0,1,[],[],[]
129.0,1,[],[],[]
129.0,0,[],[],[]
130.0,0,[],[],[]
130.0,0,[],[],[]
131.0,0,[],[],[]
131.0,0,[],[],[]
132.0,0,[],[],[]
132.0,0,[],[],[]
133.0,1,[],[],[]
133.0,0,[],[],[]
134.0,1,[],[],[]
134.0,0,[],[],[]
135.0,1,[],[],[]
136.0,1,[],[],[]
137.0,1,[],[],[]
137.0,0,[],[],[]
138.0,1,[],[],[]
138.0,0,[],[],[]
139.0,1,[],[],[]
139.0,0,[],[],[]
140.0,1,[],[],[]
140.0,0,[],[],[]
141.0,1,[],[],[]
141.0,0,[],[],[]
142.0,1,[],[],[]
142.0,1,[],[],[]
143.0,1,[],[],[]
143.0,0,[],[],[]
144.0,1,[],[],[]
144.0,0,[],[],[]
145.0,1,[],[],[]
145.0,0,[],[],[]
146.0,1,[],[],[]
146.0,0,[],[],[]
147.0,1,[],[],[]
147.0,0,[],[],[]
148.0,1,[],[],[]
148.0,0,[],[],[]
149.0,1,[],[],[]
150.0,1,[],[],[]
151.0,1,[],[],[]
152.0,1,[],[],[]
153.0,1,[],[],[]
153.0,0,[],[],[]
154.0,1,[],[],[]
154.0,0,[],[],[]
155.0,1,[],[],[]
155.0,0,[],[],[]
156.0,0,[],[],[]
156.0,0,[],[],[]
157.0,1,[],[],[]
157.0,0,[],[],[]
158.0,0,[],[],[]
158.0,0,[],[],[]
159.0,1,[],[],[]
160.0,1,[],[],[]
161.0,1,[],[],[]
162.0,1,[],[],[]
163.0,1,[],[],[]
164.0,0,[],[],[]
165.0,0,[],[],[]
166.0,1,[],[],[]
167.0,1,[],[],[]
201.0,1,[],[],[]
202.0,1,[],[],[]
203.0,0,[],[],[]
204.0,0,[],[],[]
205.0,1,[],[],[]
206.0,1,[],[],[]
207.0,1,[],[],[]
208.0,1,[],[],[]
209.0,1,[],[],[]
210.0,1,[],[],[]
211.0,0,[],[],[]
212.0,0,[],[],[]
213.0,1,[],[],[]
213.0,0,[],[],[]
214.0,1,[],[],[]
214.0,0,[],[],[]
215.0,1,[],[],[]
215.0,0,[],[],[]
216.0,0,[],[],[]
225.0,0,[],[],[]
226.0,0,[],[],[]
227.0,0,[],[],[]
228.0,1,[],[],[]
229.0,1,[],[],[]
230.0,0,[],[],[]
231.0,1,[],[],[]
232.0,1,[],[],[]
233.0,1,[],[],[]
234.0,1,[],[],[]
235.0,1,[],[],[]
236.0,1,[],[],[]
236.0,1,[],[],[]
237.0,1,[],[],[]
238.0,0,[],[],[]
239.0,1,[],[],[]
239.0,0,[],[],[]
240.0,1,[],[],[]
240.0,0,[],[],[]
241.0,0,[],[],[]
242.0,0,[],[],[]
243.0,0,[],[],[]
249.0,0,[],[],[]
250.0,0,[],[],[]
251.0,0,[],[],[]
252.0,0,[],[],[]
253.0,0,[],[],[]
254.0,0,[],[],[]
273.0,1,[],[],[]
274.0,1,[],[],[]
275.0,1,[],[],[]
276.0,0,[],[],[]
277.0,0,[],[],[]
278.0,0,[],[],[]
279.0,0,[],[],[]
280.0,1,[],[],[]
281.0,1,[],[],[]
282.0,1,[],[],[]
283.0,1,[],[],[]
284.0,1,[],[],[]
285.0,1,[],[],[]
286.0,1,[],[],[]
287.0,1,[],[],[]
288.0,0,[],[],[]
289.0,0,[],[],[]
290.0,0,[],[],[]
291.0,0,[],[],[]
292.0,0,[],[],[]
293.0,0,[],[],[]
297.0,1,[],[],[]
298.0,1,[],[],[]
299.0,1,[],[],[]
300.0,1,[],[],[]
301.0,1,[],[],[]
302.0,1,[],[],[]
303.0,1,[],[],[]
304.0,1,[],[],[]
305.0,1,[],[],[]
306.0,0,[],[],[]
307.0,1,[],[],[]
308.0,1,[],[],[]
309.0,1,[],[],[]
310.0,1,[],[],[]
311.0,1,[],[],[]
312.0,1,[],[],[]
313.0,1,[],[],[]
313.0,0,[],[],[]
314.0,1,[],[],[]
314.0,0,[],[],[]
315.0,1,[],[],[]
315.0,1,[],[],[]
316.0,1,[],[],[]
316.0,1,[],[],[]
317.0,1,[],[],[]
317.0,0,[],[],[]
318.0,1,[],[],[]
318.0,1,[],[],[]
319.0,0,[],[],[]
319.0,1,[],[],[]
320.0,0,[],[],[]
320.0,0,[],[],[]
321.0,1,[],[],[]
321.0,0,[],[],[]
322.0,0,[],[],[]
322.0,0,[],[],[]
323.0,0,[],[],[]
323.0,0,[],[],[]
324.0,1,[],[],[]
324.0,0,[],[],[]
325.0,1,[],[],[]
325.0,0,[],[],[]
326.0,0,[],[],[]
327.0,1,[],[],[]
328.0,1,"[['child', [122.0, -157.48075755104423, 874.0079553004172]]]","[['child', [122.0, -162.16219175804892, 877.6675523972834]]]","[['child', [122.0, -158.7827935778825, 876.1279255918478]]]"
329.0,1,[],[],[]
330.0,1,[],[],[]
331.0,0,[],[],[]
332.0,0,[],[],[]
333.0,0,[],[],[]
334.0,0,[],[],[]
335.0,0,[],[],[]
336.0,0,[],[],[]
345.0,1,[],[],[]
346.0,1,[],[],[]
347.0,1,[],[],[]
348.0,0,[],[],[]
349.0,0,[],[],[]
350.0,0,[],[],[]
351.0,0,[],[],[]
352.0,0,[],[],[]
353.0,0,[],[],[]
353.0,0,[],[],[]
354.0,0,[],[],[]
355.0,0,[],[],[]
356.0,0,[],[],[]
357.0,0,[],[],[]
358.0,0,[],[],[]
361.0,1,[],[],[]
362.0,0,[],[],[]
363.0,0,[],[],[]
364.0,0,[],[],[]
365.0,0,[],[],[]
366.0,0,[],[],[]
367.0,0,[],[],[]
369.0,0,[],[],[]
370.0,0,[],[],[]
371.0,0,[],[],[]
372.0,0,[],[],[]
373.0,0,[],[],[]
374.0,1,[],[],[]
375.0,0,[],[],[]
376.0,0,[],[],[]
377.0,1,"[['child', [144.67893430002036, -96.27427469087434, 887.5]]]",[],[]
378.0,1,"[['child', [154.17084921315498, -44.02445720785087, 719.4]]]","[['child', [179.02171317692557, -112.55538128135433, 719.4]]]","[['child', [167.11737500056876, -75.09046331817913, 719.4]]]"
379.0,0,[],[],[]
380.0,0,[],[],[]
381.0,0,[],[],[]
382.0,0,[],[],[]
383.0,0,[],[],[]
384.0,0,[],[],[]
393.0,0,[],[],[]
394.0,0,[],[],[]
395.0,0,[],[],[]
396.0,0,[],[],[]
397.0,0,[],[],[]
398.0,0,[],[],[]
401.0,0,[],[],[]
402.0,0,[],[],[]
403.0,0,[],[],[]
404.0,0,[],[],[]
405.0,1,[],[],[]
406.0,1,[],[],[]
407.0,1,[],[],[]
408.0,1,[],[],[]
409.0,1,[],[],[]
409.0,0,[],[],[]
410.0,1,[],[],[]
410.0,0,[],[],[]
411.0,1,[],[],[]
411.0,0,[],[],[]
412.0,1,[],[],[]
412.0,0,[],[],[]
413.0,1,[],[],[]
413.0,0,[],[],[]
414.0,1,[],[],[]
414.0,0,[],[],[]
415.0,1,[],[],[]
416.0,1,[],[],[]
417.0,1,[],[],[]
418.0,1,[],[],[]
419.0,1,[],[],[]
420.0,1,[],[],[]
421.0,1,[],[],[]
422.0,1,[],[],[]
423.0,1,[],[],[]
424.0,1,[],[],[]
425.0,1,[],[],[]
426.0,1,[],[],[]
427.0,1,[],[],[]
428.0,1,[],[],[]
429.0,1,[],[],[]
430.0,1,[],[],[]
431.0,1,[],[],[]
432.0,1,[],[],[]
433.0,1,[],[],[]
433.0,0,[],[],[]
434.0,1,[],[],[]
434.0,0,[],[],[]
435.0,1,[],[],[]
435.0,0,[],[],[]
436.0,0,[],[],[]
436.0,0,[],[],[]
437.0,0,[],[],[]
437.0,0,[],[],[]
438.0,0,[],[],[]
438.0,0,[],[],[]
439.0,0,[],[],[]
440.0,0,[],[],[]
441.0,0,[],[],[]
441.0,0,[],[],[]
442.0,0,[],[],[]
443.0,0,[],[],[]
444.0,0,[],[],[]
445.0,0,[],[],[]
446.0,0,[],[],[]
449.0,1,[],[],[]
449.0,0,[],[],[]
450.0,0,[],[],[]
450.0,0,[],[],[]
451.0,0,[],[],[]
451.0,0,[],[],[]
452.0,1,[],[],[]
452.0,0,[],[],[]
453.0,1,[],[],[]
453.0,0,[],[],[]
454.0,1,[],[],[]
454.0,0,[],[],[]
455.0,0,[],[],[]
456.0,0,[],[],[]
457.0,0,[],[],[]
457.0,0,[],[],[]
458.0,0,[],[],[]
458.0,0,[],[],[]
459.0,0,[],[],[]
459.0,0,[],[],[]
460.0,0,[],[],[]
460.0,0,[],[],[]
461.0,0,[],[],[]
462.0,0,[],[],[]
465.0,1,[],[],[]
466.0,1,[],[],[]
467.0,1,[],[],[]
468.0,0,[],[],[]
469.0,0,[],[],[]
470.0,1,[],[],[]
471.0,1,[],[],[]
472.0,1,[],[],[]
473.0,0,[],[],[]
474.0,0,[],[],[]
475.0,1,[],[],[]
476.0,1,[],[],[]
477.0,1,[],[],[]
478.0,1,[],[],[]
479.0,0,[],[],[]
480.0,1,[],[],[]
481.0,0,[],[],[]
482.0,0,[],[],[]
483.0,0,[],[],[]
484.0,0,[],[],[]
485.0,1,[],[],[]
486.0,1,[],[],[]
487.0,1,[],[],[]
488.0,1,[],[],[]
489.0,1,[],"[['child', [24.110117274642903, -119.3457068711229, 979.9]]]",[]
490.0,1,[],[],[]
491.0,1,[],[],[]
492.0,1,[],[],[]
493.0,1,[],[],[]
494.0,1,[],[],[]
495.0,1,[],[],[]
496.0,1,[],[],[]
497.0,1,[],[],[]
498.0,1,[],[],[]
499.0,1,[],[],[]
500.0,1,[],[],[]
501.0,1,[],[],[]
502.0,1,[],[],[]
503.0,1,[],[],[]
504.0,1,[],[],[]
505.0,1,[],[],[]
506.0,1,[],[],[]
507.0,1,[],[],[]
508.0,1,[],[],[]
509.0,1,[],[],[]
510.0,1,[],[],[]
511.0,1,[],[],[]
512.0,1,[],[],[]
513.0,0,[],[],[]
514.0,1,[],[],[]
515.0,1,[],[],[]
516.0,1,[],[],[]
517.0,1,[],[],[]
518.0,1,[],[],[]
519.0,1,[],[],[]
520.0,1,[],[],[]
521.0,1,[],[],[]
522.0,1,[],[],[]
523.0,1,[],[],[]
524.0,1,[],[],[]
525.0,1,[],[],[]
526.0,1,[],[],[]
527.0,1,[],[],[]
528.0,1,[],[],[]
529.0,1,[],[],[]
530.0,1,[],[],[]
531.0,1,[],[],[]
532.0,1,[],[],[]
533.0,1,[],[],[]
534.0,1,[],[],[]
535.0,1,[],[],[]
536.0,1,[],[],[]
537.0,1,[],[],[]
538.0,1,[],[],[]
539.0,1,[],[],[]
540.0,1,[],[],[]
541.0,1,[],[],[]
542.0,1,[],[],[]
543.0,0,[],[],[]
544.0,0,[],[],[]
